date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:10	16417/16417	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202019%2007:30:09%20GMT	https://bootstrapmade.com/demo/themes/Day/index.html	C:/Users/Jarin/Desktop/websitedemo/bootstrapmade.com/demo/themes/Day/index.html	(from )
13:30:11	31/31	---M--	200	added ('OK')	text/plain	date:Sat,%2031%20Aug%202019%2007:30:10%20GMT	https://bootstrapmade.com/robots.txt		(from )
13:30:12	113498/113498	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jun%202019%2018:24:55%20GMT	https://bootstrapmade.com/demo/themes/Day/css/bootstrap.min.css	C:/Users/Jarin/Desktop/websitedemo/bootstrapmade.com/demo/themes/Day/css/bootstrap.min.css	(from https://bootstrapmade.com/demo/themes/Day/index.html)
13:30:13	17780/17780	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jun%202019%2018:24:55%20GMT	https://bootstrapmade.com/demo/themes/Day/css/font-awesome.min.css	C:/Users/Jarin/Desktop/websitedemo/bootstrapmade.com/demo/themes/Day/css/font-awesome.min.css	(from https://bootstrapmade.com/demo/themes/Day/index.html)
13:30:14	61382/61382	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jun%202019%2018:24:55%20GMT	https://bootstrapmade.com/demo/themes/Day/css/animate.css	C:/Users/Jarin/Desktop/websitedemo/bootstrapmade.com/demo/themes/Day/css/animate.css	(from https://bootstrapmade.com/demo/themes/Day/index.html)
13:30:15	57094/57094	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jun%202019%2018:24:55%20GMT	https://bootstrapmade.com/demo/themes/Day/css/animate.min.css	C:/Users/Jarin/Desktop/websitedemo/bootstrapmade.com/demo/themes/Day/css/animate.min.css	(from https://bootstrapmade.com/demo/themes/Day/index.html)
13:30:15	23255/23255	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jun%202019%2018:24:55%20GMT	https://bootstrapmade.com/demo/themes/Day/css/style.css	C:/Users/Jarin/Desktop/websitedemo/bootstrapmade.com/demo/themes/Day/css/style.css	(from https://bootstrapmade.com/demo/themes/Day/index.html)
13:30:16	16151/16151	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202019%2007:30:14%20GMT	https://bootstrapmade.com/demo/themes/Day/about.html	C:/Users/Jarin/Desktop/websitedemo/bootstrapmade.com/demo/themes/Day/about.html	(from https://bootstrapmade.com/demo/themes/Day/index.html)
13:30:16	9595/9595	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202019%2007:30:15%20GMT	https://bootstrapmade.com/demo/themes/Day/services.html	C:/Users/Jarin/Desktop/websitedemo/bootstrapmade.com/demo/themes/Day/services.html	(from https://bootstrapmade.com/demo/themes/Day/index.html)
13:30:16	8915/8915	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202019%2007:30:15%20GMT	https://bootstrapmade.com/demo/themes/Day/gallery.html	C:/Users/Jarin/Desktop/websitedemo/bootstrapmade.com/demo/themes/Day/gallery.html	(from https://bootstrapmade.com/demo/themes/Day/index.html)
